epoch,train_loss,train_acc,val_top1,val_top5,best_val_top1,lr,epoch_time_sec,loss,loss_params
59,3.7722350535353217,31.070786292336898,64.042,86.202,64.918,0.03933562511262804,2203.595754623413,ce,{}
60,3.7602790966056805,30.641485163352982,66.588,87.994,66.588,0.03772634838570362,2205.308975458145,ce,{}
61,3.7511632125424583,31.361071910280746,64.212,86.222,66.588,0.036130493263362165,2190.8425250053406,ce,{}
62,3.731902240456276,31.71746990208812,65.868,87.316,66.588,0.03454980478974984,2112.898300409317,ce,{}
63,3.704359926464246,31.643239834149266,66.86,88.08,66.86,0.03298601142450507,2065.919636487961,ce,{}
64,3.695158807199215,31.98113885003497,63.482,85.85,66.86,0.031440823152713425,2081.0481250286102,ce,{}
65,3.6687147750258027,32.288596513138174,66.048,87.552,66.86,0.029915929615063865,2027.3729066848755,ce,{}
66,3.652412167032802,32.62165613447897,65.954,87.416,66.86,0.028412998260251534,2010.8265147209167,ce,{}
67,3.6397964976767416,32.70033532320911,65.91,87.16,66.86,0.026933672521647113,1988.4941112995148,ce,{}
68,3.623997952652473,32.98578154660805,65.954,87.402,66.86,0.025479570020226515,1927.4854972362518,ce,{}
69,3.594727868168656,33.68054688280547,66.684,87.702,66.86,0.024052280795726137,1937.4912917613983,ce,{}
70,3.592034928126225,33.133070861224894,65.16,86.698,66.86,0.022653365567957735,1907.0803020000458,ce,{}
71,3.5534843204857314,34.20562119092816,66.182,87.528,66.86,0.02128435403018417,1979.4366083145142,ce,{}
72,3.5447552011901293,33.91455502547707,68.286,88.846,68.286,0.019946743176422393,1979.1111710071564,ce,{}
73,3.5266971199147314,34.53665138875012,68.174,88.608,68.286,0.018641995664502392,2126.2424664497375,ce,{}
74,3.511406895711546,34.58122065141373,66.642,87.862,68.286,0.017371538216672335,2117.25945019722,ce,{}
75,3.480898916429544,34.84715318713158,66.578,87.61,68.286,0.016136760059498777,2165.0118741989136,ce,{}
76,3.483066731845598,35.74782695573983,68.1,88.454,68.286,0.014939011404767713,2262.9260902404785,ce,{}
77,3.462886831526728,35.886061919272656,69.084,89.402,69.084,0.013779601973047954,2162.887709379196,ce,{}
78,3.42444084705155,36.341121115995605,67.456,88.15,69.084,0.01265979956153082,2228.3527364730835,ce,{}
79,3.406929570986134,36.2401182685583,67.154,88.056,69.084,0.011580828657712476,2226.186089515686,ce,{}
80,3.3854258565448214,36.630001748426416,68.186,88.516,69.084,0.01054386910043503,2199.3198535442352,ce,{}
81,3.3597382174253774,37.077801853332,70.544,90.154,70.544,0.009550054789749825,2198.134561777115,ce,{}
82,3.329040070896871,37.28316390248776,68.152,88.456,70.544,0.008600472447014576,2182.1731157302856,ce,{}
83,3.3169492039126416,38.11210535518034,70.062,89.772,70.544,0.007696160426579449,2106.751395702362,ce,{}
84,3.287172779823495,38.02858677190528,67.96,88.322,70.544,0.006838107580361787,2127.5778317451477,ce,{}
85,3.2620775826578314,38.50792099610351,69.032,89.214,70.544,0.006027252176551158,2120.9650933742523,ce,{}
86,3.2347956796377995,39.050713732640624,69.954,89.626,70.544,0.005264480873626739,2131.8661165237427,ce,{}
87,3.2268760662500955,39.53348236587072,69.632,89.394,70.544,0.004550627750809412,2101.256340742111,ce,{}
88,3.194387355626362,39.14656496653012,72.154,90.968,72.154,0.0038864733960082528,2069.330604314804,ce,{}
89,3.1621781313784987,40.26641647517234,72.066,90.908,72.154,0.0032727440522592527,2087.68883228302,ce,{}
90,3.1320164946721785,40.93503346987711,70.61,90.024,72.154,0.0027101108235891196,2143.0375847816467,ce,{}
91,3.109759025467015,41.03197747027675,72.75,91.302,72.75,0.002199188941172886,2143.2243535518646,ce,{}
92,3.093716089512778,41.4902369117794,73.752,91.79,73.752,0.0017405370905877113,2113.0579578876495,ce,{}
93,3.0730514265295388,41.62534968528325,73.762,91.754,73.762,0.0013346568008983375,2169.2057387828827,ce,{}
94,3.038867696918728,41.63713595264262,74.392,92.292,74.392,0.00098199189624247,2181.1628680229187,ce,{}
95,3.0120034378026794,42.22699570386652,75.488,92.704,75.488,0.0006829280105155855,2180.179271221161,ce,{}
96,3.0060581311513546,42.26149590368668,75.764,92.864,75.764,0.00043779216568590396,2107.670999765396,ce,{}
97,2.9910572857775284,42.7472306174443,76.23,93.14,76.23,0.00024685241420070183,1986.9733257293701,ce,{}
98,2.986781461813648,42.50065565990609,76.54,93.302,76.54,0.00011031754587488268,2019.6727724075317,ce,{}
99,2.9874520511081233,42.978584898591265,76.626,93.404,76.626,2.8336859582368024e-05,2074.0318953990936,ce,{}
100,2.9741865803590604,43.358555425117395,76.908,93.502,76.908,1e-06,2038.382084608078,ce,{}
