epoch,train_loss,train_acc,val_top1,val_top5,val_raw_top1,val_ema_top1,val_selected_source,best_val_top1,lr,epoch_time_sec,loss,loss_params
41,3.617270265238687,31.235559871115996,61.722,84.55,59.032,61.722,ema,63.264,0.06856017684728656,1756.346919298172,ce,{}
42,3.61269317831904,31.381678364471973,63.822,86.092,58.262,63.822,ema,63.822,0.06701498857549491,1763.2466571331024,ce,{}
43,3.6001543633313027,32.063486612049154,61.868,84.774,59.218,61.868,ema,63.822,0.06545119521025018,1938.144170999527,ce,{}
44,3.6007033118788137,31.85195823758617,64.716,86.64,59.298,64.716,ema,64.716,0.06387050673663786,1570.6860971450806,ce,{}
45,3.5768649812011004,32.110553626735935,61.108,84.012,59.85,61.108,ema,64.716,0.062274651614296385,1591.5335412025452,ce,{}
46,3.5744755802865344,32.06013025776801,61.558,84.298,59.994,61.558,ema,64.716,0.06066537488737198,1522.3443841934204,ce,{}
47,3.5653266195460556,32.531580952143074,64.528,86.504,60.484,64.528,ema,64.716,0.05904443627633832,1605.388339996338,ce,{}
48,3.5396229185082837,32.79173743630732,63.676,86.074,60.498,63.676,ema,64.716,0.057413608253768234,1580.78373670578,ce,{}
49,3.5304767465434215,32.49715880707363,63.32,85.474,61.388,63.32,ema,64.716,0.055774674106160826,1708.2326021194458,ce,{}
50,3.525456930852839,32.97485388150665,62.586,84.718,61.782,62.586,ema,64.716,0.05412942598394388,1881.9831402301788,ce,{}
51,3.5159380929979105,33.24648441402738,63.51,85.338,62.134,63.51,ema,64.716,0.052479662941783786,1843.7773852348328,ce,{}
52,3.4988169635565374,33.18700669397542,66.292,87.846,62.496,66.292,ema,66.292,0.050827188971345534,1816.1243245601654,ce,{}
53,3.4934158116290233,33.08701855829753,63.862,85.982,59.87,63.862,ema,66.292,0.04917381102865446,1865.7756111621857,ce,{}
54,3.4764080507817927,33.419531796383254,64.294,86.056,61.164,64.294,ema,66.292,0.04752133705821623,1868.6349086761475,ce,{}
55,3.462818650101696,33.866317189529425,65.522,86.984,63.022,65.522,ema,66.292,0.04587157401605613,1869.0463483333588,ce,{}
56,3.4504967509765274,33.79271155959636,65.504,86.996,63.558,65.504,ema,66.292,0.044226325893839194,1867.765550851822,ce,{}
57,3.4345690896787633,34.33854843141173,64.726,86.73,63.442,64.726,ema,66.292,0.04258739174623176,1848.7557785511017,ce,{}
58,3.4266896318610414,34.01704091317814,64.104,86.124,64.096,64.104,ema,66.292,0.04095656372366168,1823.8235549926758,ce,{}
59,3.408194701861449,34.68323821061045,66.958,88.054,64.484,66.958,ema,66.958,0.03933562511262804,1838.545137166977,ce,{}
60,3.3965569137276344,34.72382668098711,64.784,86.774,64.784,63.722,raw,66.958,0.03772634838570362,1834.9239695072174,ce,{}
61,3.3914371062997266,34.92271018583275,67.706,88.61,63.83,67.706,ema,67.706,0.036130493263362165,1843.9103381633759,ce,{}
62,3.369707619849708,35.145556499150764,66.67,87.79,64.822,66.67,ema,67.706,0.03454980478974984,1831.6105024814606,ce,{}
63,3.354086535617014,35.70239909081826,66.376,87.464,63.962,66.376,ema,67.706,0.03298601142450507,1830.8147690296173,ce,{}
64,3.337676957718606,35.65962508742132,67.048,87.99,65.642,67.048,ema,67.706,0.031440823152713425,1825.166915178299,ce,{}
65,3.327389549382477,35.67500187331402,66.22,87.736,66.22,64.996,raw,67.706,0.029915929615063865,1837.7978291511536,ce,{}
66,3.3032961084311725,35.546601808372465,66.442,87.424,65.368,66.442,ema,67.706,0.028412998260251534,1721.0727756023407,ce,{}
67,3.2881971064689623,36.18907046158457,67.772,88.448,66.214,67.772,ema,67.772,0.026933672521647113,1671.7454252243042,ce,{}
68,3.2789338337504454,36.55561557098611,66.464,87.796,66.464,64.634,raw,67.772,0.025479570020226515,1673.4607193470001,ce,{}
69,3.2630332417154135,36.8597949345589,67.144,88.366,67.144,66.186,raw,67.772,0.024052280795726137,1663.8453512191772,ce,{}
70,3.226034754246119,37.13111324807673,66.868,88.22,66.868,65.196,raw,67.772,0.022653365567957735,1632.191012620926,ce,{}
71,3.2249011390989795,37.28542749025877,67.476,88.624,67.476,64.16,raw,67.772,0.02128435403018417,1599.2620060443878,ce,{}
72,3.1986815127379318,37.81432648116695,68.406,88.9,68.406,67.926,raw,68.406,0.019946743176422393,1669.089835882187,ce,{}
73,3.182255417641518,38.03732890398641,68.772,89.348,68.772,65.156,raw,68.772,0.018641995664502392,1612.863843679428,ce,{}
74,3.1653129919769403,37.86810620441602,68.566,89.336,68.566,64.372,raw,68.772,0.017371538216672335,1744.017643213272,ce,{}
75,3.1467354559186145,38.48013350484564,69.356,89.752,69.356,68.6,raw,69.356,0.016136760059498777,1841.9525163173676,ce,{}
76,3.134464965475012,39.14508192626636,70.202,90.222,70.202,69.256,raw,70.202,0.014939011404767713,1806.6370117664337,ce,{}
77,3.1001060933830473,39.51373451393746,70.642,90.332,70.642,67.09,raw,70.642,0.013779601973047954,1787.7902190685272,ce,{}
78,3.083612015702553,39.542068388450396,71.122,90.694,71.122,67.642,raw,71.122,0.01265979956153082,1710.1002066135406,ce,{}
79,3.0643877794197336,39.97644307623139,70.844,90.452,70.844,66.762,raw,71.122,0.011580828657712476,1685.154765844345,ce,{}
80,3.038083321196131,39.986043810570486,71.746,91.052,71.746,67.87,raw,71.746,0.01054386910043503,1737.3562369346619,ce,{}
81,3.0184279257558733,40.622424193226095,72.33,91.266,72.33,66.352,raw,72.33,0.009550054789749825,1745.804122209549,ce,{}
82,2.9973016604401512,40.962118468378456,71.906,91.082,71.906,69.172,raw,72.33,0.008600472447014576,1934.9678344726562,ce,{}
83,2.9815849479541328,41.14281521630532,73.088,91.542,73.088,68.272,raw,73.088,0.007696160426579449,2049.1685106754303,ce,{}
84,2.9397951418113157,41.79753846538116,73.416,91.784,73.416,68.444,raw,73.416,0.006838107580361787,1886.3924555778503,ce,{}
85,2.918217967494835,41.94592054650814,73.764,91.9,73.764,68.128,raw,73.764,0.006027252176551158,1830.827318906784,ce,{}
86,2.901728677373271,42.14097936856829,74.042,92.066,74.042,66.534,raw,74.042,0.005264480873626739,1633.6608850955963,ce,{}
87,2.889455076602208,42.78336996702967,74.352,92.354,74.352,69.44,raw,74.352,0.004550627750809412,1588.246523141861,ce,{}
88,2.852587938999508,42.81490408632231,74.668,92.618,74.668,71.002,raw,74.668,0.0038864733960082528,1654.5962336063385,ce,{}
89,2.826129662643983,43.46892484264162,75.092,92.674,75.092,70.886,raw,75.092,0.0032727440522592527,1779.122006893158,ce,{}
90,2.8021466080179365,43.73649652812469,75.546,92.876,75.546,70.758,raw,75.546,0.0027101108235891196,1678.3260543346405,ce,{}
91,2.7799917825012255,44.164080452592664,75.792,92.944,75.792,73.072,raw,75.792,0.002199188941172886,1911.2974648475647,ce,{}
92,2.755368671249064,44.646224647816965,76.194,93.206,76.194,73.692,raw,76.194,0.0017405370905877113,2118.8115689754486,ce,{}
93,2.7400024031673307,45.2499781446698,76.486,93.312,76.486,74.084,raw,76.486,0.0013346568008983375,2060.812645673752,ce,{}
94,2.7178417775094754,45.477195524028375,76.9,93.482,76.9,75.04,raw,76.9,0.00098199189624247,2030.0152053833008,ce,{}
95,2.685808252556982,45.24459236686982,76.756,93.44,76.756,75.518,raw,76.9,0.0006829280105155855,2086.237062692642,ce,{}
96,2.687965893819266,45.68817751523629,77.052,93.578,77.052,76.006,raw,77.052,0.00043779216568590396,2100.011592388153,ce,{}
97,2.6728805755446965,46.23097025177341,77.234,93.628,77.234,76.494,raw,77.234,0.00024685241420070183,1854.8540306091309,ce,{}
98,2.643232942747062,46.32447984314117,77.396,93.648,77.396,76.978,raw,77.396,0.00011031754587488268,1839.168902873993,ce,{}
99,2.661738891810706,45.72158494854631,77.452,93.692,77.452,77.23,raw,77.452,2.8336859582368024e-05,1858.7355716228485,ce,{}
100,2.647249302779274,46.38957750524528,77.57,93.778,77.57,77.438,raw,77.57,1e-06,1849.4289829730988,ce,{}
